letter_color_pair,letter,color,letter_frequency,probability,weight,2d_prior,flat_priors
0,t,1,9.06,100,906,0.20623716,0.01
1,s,2,6.33,75,474.75,0.108069638,0.01
2,d,3,4.25,50,212.5,0.048372402,0.01
3,m,4,2.41,25,60.25,0.013714999,0.01
4,v,5,0.98,10,9.8,0.002230821,0.01
5,a,6,8.17,10,81.7,0.018597766,0.01
6,h,7,6.09,25,152.25,0.034657404,0.01
7,l,8,4.03,50,201.5,0.045868419,0.01
8,w,9,2.36,75,177,0.040291366,0.01
9,j,10,0.25,100,25,0.005690871,0.01
10,t,2,9.06,0,0,0,0.01
11,t,3,9.06,0,0,0,0.01
12,t,4,9.06,0,0,0,0.01
13,t,5,9.06,0,0,0,0.01
14,t,6,9.06,0,0,0,0.01
15,t,7,9.06,0,0,0,0.01
16,t,8,9.06,0,0,0,0.01
17,t,9,9.06,0,0,0,0.01
18,t,10,9.06,0,0,0,0.01
19,s,1,6.33,2.7778,17.58333333,0.004002579,0.01
20,s,3,6.33,2.7778,17.58333333,0.004002579,0.01
21,s,4,6.33,2.7778,17.58333333,0.004002579,0.01
22,s,5,6.33,2.7778,17.58333333,0.004002579,0.01
23,s,6,6.33,2.7778,17.58333333,0.004002579,0.01
24,s,7,6.33,2.7778,17.58333333,0.004002579,0.01
25,s,8,6.33,2.7778,17.58333333,0.004002579,0.01
26,s,9,6.33,2.7778,17.58333333,0.004002579,0.01
27,s,10,6.33,2.7778,17.58333333,0.004002579,0.01
28,d,1,4.25,5.5556,23.6113,0.005374754,0.01
29,d,2,4.25,5.5556,23.6113,0.005374754,0.01
30,d,4,4.25,5.5556,23.6113,0.005374754,0.01
31,d,5,4.25,5.5556,23.6113,0.005374754,0.01
32,d,6,4.25,5.5556,23.6113,0.005374754,0.01
33,d,7,4.25,5.5556,23.6113,0.005374754,0.01
34,d,8,4.25,5.5556,23.6113,0.005374754,0.01
35,d,9,4.25,5.5556,23.6113,0.005374754,0.01
36,d,10,4.25,5.5556,23.6113,0.005374754,0.01
37,m,1,2.41,8.3333,20.083253,0.004571648,0.01
38,m,2,2.41,8.3333,20.083253,0.004571648,0.01
39,m,3,2.41,8.3333,20.083253,0.004571648,0.01
40,m,5,2.41,8.3333,20.083253,0.004571648,0.01
41,m,6,2.41,8.3333,20.083253,0.004571648,0.01
42,m,7,2.41,8.3333,20.083253,0.004571648,0.01
43,m,8,2.41,8.3333,20.083253,0.004571648,0.01
44,m,9,2.41,8.3333,20.083253,0.004571648,0.01
45,m,10,2.41,8.3333,20.083253,0.004571648,0.01
46,v,1,0.98,10,9.8,0.002230821,0.01
47,v,2,0.98,10,9.8,0.002230821,0.01
48,v,3,0.98,10,9.8,0.002230821,0.01
49,v,4,0.98,10,9.8,0.002230821,0.01
50,v,6,0.98,10,9.8,0.002230821,0.01
51,v,7,0.98,10,9.8,0.002230821,0.01
52,v,8,0.98,10,9.8,0.002230821,0.01
53,v,9,0.98,10,9.8,0.002230821,0.01
54,v,10,0.98,10,9.8,0.002230821,0.01
55,a,1,8.17,10,81.7,0.018597766,0.01
56,a,2,8.17,10,81.7,0.018597766,0.01
57,a,3,8.17,10,81.7,0.018597766,0.01
58,a,4,8.17,10,81.7,0.018597766,0.01
59,a,5,8.17,10,81.7,0.018597766,0.01
60,a,7,8.17,10,81.7,0.018597766,0.01
61,a,8,8.17,10,81.7,0.018597766,0.01
62,a,9,8.17,10,81.7,0.018597766,0.01
63,a,10,8.17,10,81.7,0.018597766,0.01
64,h,1,6.09,8.3333,50.749797,0.011552422,0.01
65,h,2,6.09,8.3333,50.749797,0.011552422,0.01
66,h,3,6.09,8.3333,50.749797,0.011552422,0.01
67,h,4,6.09,8.3333,50.749797,0.011552422,0.01
68,h,5,6.09,8.3333,50.749797,0.011552422,0.01
69,h,6,6.09,8.3333,50.749797,0.011552422,0.01
70,h,8,6.09,8.3333,50.749797,0.011552422,0.01
71,h,9,6.09,8.3333,50.749797,0.011552422,0.01
72,h,10,6.09,8.3333,50.749797,0.011552422,0.01
73,l,1,4.03,5.5556,22.389068,0.005096532,0.01
74,l,2,4.03,5.5556,22.389068,0.005096532,0.01
75,l,3,4.03,5.5556,22.389068,0.005096532,0.01
76,l,4,4.03,5.5556,22.389068,0.005096532,0.01
77,l,5,4.03,5.5556,22.389068,0.005096532,0.01
78,l,6,4.03,5.5556,22.389068,0.005096532,0.01
79,l,7,4.03,5.5556,22.389068,0.005096532,0.01
80,l,9,4.03,5.5556,22.389068,0.005096532,0.01
81,l,10,4.03,5.5556,22.389068,0.005096532,0.01
82,w,1,2.36,2.7778,6.555555556,0.001492273,0.01
83,w,2,2.36,2.7778,6.555555556,0.001492273,0.01
84,w,3,2.36,2.7778,6.555555556,0.001492273,0.01
85,w,4,2.36,2.7778,6.555555556,0.001492273,0.01
86,w,5,2.36,2.7778,6.555555556,0.001492273,0.01
87,w,6,2.36,2.7778,6.555555556,0.001492273,0.01
88,w,7,2.36,2.7778,6.555555556,0.001492273,0.01
89,w,8,2.36,2.7778,6.555555556,0.001492273,0.01
90,w,10,2.36,2.7778,6.555555556,0.001492273,0.01
91,j,1,0.25,0,0,0,0.01
92,j,2,0.25,0,0,0,0.01
93,j,3,0.25,0,0,0,0.01
94,j,4,0.25,0,0,0,0.01
95,j,5,0.25,0,0,0,0.01
96,j,6,0.25,0,0,0,0.01
97,j,7,0.25,0,0,0,0.01
98,j,8,0.25,0,0,0,0.01
99,j,9,0.25,0,0,0,0.01
