letter_color_pair,letter,color,congruent,letter_frequency,probability,weight,2d_prior,flat_priors
0,t,1,1,9.06,100,906,0.357365111,0.05
1,s,2,1,6.33,75,474.75,0.187261685,0.05
2,d,3,1,4.25,50,212.5,0.08381908,0.05
3,m,4,1,2.41,25,60.25,0.023765174,0.05
4,v,5,1,0.98,10,9.8,0.003865539,0.05
5,a,6,1,8.17,10,81.7,0.032225971,0.05
6,h,7,1,6.09,25,152.25,0.060053905,0.05
7,l,8,1,4.03,50,201.5,0.07948021,0.05
8,w,9,1,2.36,75,177,0.069816363,0.05
9,j,10,1,0.25,100,25,0.009861068,0.05
10,t,4,0,9.06,0,1,0.000394443,0.05
11,s,2,0,6.33,2.7778,17.58333333,0.006935618,0.05
12,d,9,0,4.25,5.5556,23.6113,0.009313306,0.05
13,m,5,0,2.41,8.3333,20.083253,0.007921693,0.05
14,v,7,0,0.98,10,9.8,0.003865539,0.05
15,a,6,0,8.17,10,81.7,0.032225971,0.05
16,h,1,0,6.09,8.3333,50.749797,0.020017888,0.05
17,l,3,0,4.03,5.5556,22.389068,0.008831205,0.05
18,w,10,0,2.36,2.7778,6.555555556,0.002585791,0.05
19,j,8,0,0.25,0,1,0.000394443,0.05
